training_config,regularization_profile,seed,vf_error_mse,vf_error_mean_norm,vf_error_max_norm
rk4_ratio16,l2_small,0,0.00521434507782985,0.06260249905260562,0.185802861855846
rk4_ratio16,l2_small,1,0.0012995046076509976,0.03149308606473178,0.07811819787490659
rk4_ratio16,l2_small,2,0.003056243522526171,0.04664253614322598,0.14869033689112135
rk4_ratio16,ortho_small,0,0.0022130600043891446,0.04153871906779584,0.1106244086288623
rk4_ratio16,ortho_small,1,0.005130119228284185,0.06220039464324174,0.19512069086892891
rk4_ratio16,ortho_small,2,0.007422459566256293,0.06759054081305138,0.21319581404055565
rk4_ratio16,l2_plus_ortho,0,0.002204260279349723,0.0413986826495202,0.11150858515288145
rk4_ratio16,l2_plus_ortho,1,0.004106553611027601,0.05601417725768603,0.16517979574686195
rk4_ratio16,l2_plus_ortho,2,0.006910250425705322,0.06524574767080536,0.20358290464543335
diffrax_tsit5,none,0,0.005466454435636648,0.06309515763136363,0.17562711336880155
diffrax_tsit5,none,1,0.0010314776921593791,0.02866557897966544,0.0657719796397739
diffrax_tsit5,none,2,0.002566472194720834,0.043457843253370924,0.13063903570247917
diffrax_tsit5,l2_small,0,0.005099695425912435,0.06251647109693233,0.1952771695160381
diffrax_tsit5,l2_small,1,0.0009791212965090043,0.027703565146444245,0.06752825061012802
diffrax_tsit5,l2_small,2,0.002936511537774287,0.04600262551540447,0.14351652074129617
diffrax_tsit5,ortho_small,0,0.0029232177477786026,0.04701621378291978,0.12779760981188432
diffrax_tsit5,ortho_small,1,0.004523621079445307,0.05828392899748792,0.1841751763340341
diffrax_tsit5,ortho_small,2,0.0034183572043959727,0.048732039654924904,0.1487952643551492
diffrax_tsit5,l2_plus_ortho,0,0.002307006986255743,0.04212298908757125,0.11797016090728991
diffrax_tsit5,l2_plus_ortho,1,0.00485350474031127,0.060291523259350915,0.19179698948629784
diffrax_tsit5,l2_plus_ortho,2,0.003965782816325298,0.051978531287669306,0.15899834939670524
